year,make,model,trim
2024,Toyota,"2024 RAV4","2024 rav4 4wd 5dr. wagon le l4 8at model 4432"
2024,Toyota,"2024 Highlander","2024 highlander 4wd wagon xle l4 8at-f model 6953"
2024,Toyota,"2024 Camry","2024 camry 4wd 4dr. sedan se l4 8at model 2516"
2024,Toyota,"2024 Tundra","2024 tundra 4wd crew max sr5 v6 10at model 8361"
2024,Toyota,"2024 bZ4X","2024 bz4x 4wd wagon xle electric 1speed model 2872"
2024,Toyota,"Not found","2024 tundra i-force max 4wd crew max ltd hybrid 10at model 8421"
2024,Toyota,"2024 Camry Hybrid","2024 camry hybrid 2wd 4dr. sedan le hybrid cvt model 2559"
2024,Toyota,"2024 Corolla","2024 corolla 2wd 4dr. sedan le l4 cvt-f model 1852"
2024,Toyota,"2024 Corolla Hybrid","2024 corolla hybrid 2wd 4dr. sedan le hybrid cvt-f model 1882"
2024,Toyota,"2024 Corolla Hatchback","2024 corolla hatchback 2wd 5dr. hatch back se l4 cvt-f model 6272"
2024,Toyota,"2024 Corolla Cross","2024 corolla cross 4wd 5dr. suv l l4 cvt-f model 6302"
2024,Toyota,"2024 Corolla Cross Hybrid","2024 corolla cross hybrid 4wd 5dr. suv s hybrid cvt-f model 6312"
2024,Toyota,"2024 RAV4 Prime","2024 rav4 prime 4wd 5dr. wagon se phv cvt model 4544"
2024,Toyota,"2024 RAV4 Hybrid","2024 rav4 hybrid 4wd 5dr. wagon le hybrid cvt model 4435"
2024,Toyota,"2024 Venza","2024 venza 4wd wagon le hybrid cvt model 2810"
2024,Toyota,"2024 Sienna","2024 sienna 2wd wagon le hybrid cvt model 5402"
2024,Toyota,"2024 Prius","2024 prius 4wd 5dr. sedan le hybrid cvt-f model 1263"
2024,Toyota,"2024 4Runner","2024 4runner 4wd wagon sr5 v6 5at model 8664"
2024,Toyota,"2024 Prius Prime","2024 prius prime 2wd 5dr. sedan se phv cvt-f model 1235"
2024,Toyota,"2024 GR Supra","2024 gr supra 2wd coupe 3.0 at pre b58 8at model 2374"
2024,Toyota,"2024 Highlander Hybrid","2024 highlander hybrid 4wd wagon xle hybrid cvt-f model 6965"
2024,Toyota,"2024 Grand Highlander","2024 grand highlander 4wd wagon xle l4 8at model 6708"
2024,Toyota,"2024 Grand Highlander Hybrid","2024 grand highlander hybrid 4wd wagon xle hybrid cvt model 6722"
2024,Toyota,"2024 Sequoia","2024 sequoia 4wd suv sr5 hybrid 10at model 7947"
2024,Toyota,"2024 Toyota Crown","2024 toyota crown 4wd 4dr. sedan xle hybrid cvt-f model 4015"
